Deliverable,Task to be done,Assignee,Start Date,Planned Due Date,Due Date,Customer,Task Type,Status,Remarks,Completed,Reviewer,Client rework count,Tentative Time,Last edited time,Internal rework count,Completion Date,Created Time
Inframarket data monitoring ,Check status of data & followups,U0877RUHX4M,2026-03-24,2026-03-18,2026-03-26,Infra.Market,BAU,Yet to start,,false,,0,1,1774238006,0,2026-03-22,2026-03-23
Cadence call and BRSR data lock progress and shoot mails and call for In person meeting with Shalaka & RohanMam on April 8th,Cadence call and BRSR data lock progress and shoot mails and call for In person meeting with Shalaka on April 8th,U06LK54V5EF,2026-04-08,2026-04-10,2026-04-08,Rustomjee,New,Yet to start,,false,,0,2,1774202887,0,,2026-03-22
Cadence call and BRSR data lock progress and shoot mails and call for In person meeting with Namrata Mam on April 17th,Cadence call and BRSR data lock progress and shoot mails and call for In person meeting with Namrata Mam on April 17th,U06LK54V5EF,2026-04-17,2026-04-10,2026-04-17,Rustomjee,New,Yet to start,,false,,0,2,1774202977,0,,2026-03-22
"Cadence call and BRSR data lock progress and shoot mails and call for In person meeting with Sanket, Paarth, HR integration data reviw on April 15th","1.Cadence call and BRSR data lock progress and shoot mails and call for In person meeting with Sanket, Paarth, on April 15th
2. On spot data status and hygine discusstion in person meeting",U06LK54V5EF,2026-04-14,2026-04-10,2026-04-14,Rustomjee,New,Yet to start,,false,,0,2,1774200258,0,,2026-03-22
Cadence call and BRSR data lock progress and shoot mails and call for In person meeting with Pratiksha on April 15th,Cadence call and BRSR data lock progress and shoot mails and call for In person meeting with Pratiksha on April 15th,U06LK54V5EF,2026-04-10,2026-04-10,2026-04-14,Rustomjee,New,Yet to start,,false,,0,2,1774199970,0,,2026-03-22
"1.Shalimar paints Configuration and BRSR indicatiors confirmation
2. Call Snehal Saboo and ask for online department wise training","1.Shalimar paints Configuration and BRSR indicatiors confirmation
2. Call Snehal Saboo and ask for online department wise training",U06LK54V5EF,2026-03-23,2026-03-23,2026-03-24,Shalimar Paints,BAU,Yet to start,,false,,0,2,1774199104,0,,2026-03-22
All client CSV pack followup with Akshay,"1.All client CSV pack followup with Akshay
2. Check with Abhirup or Kushagra on ADF case.",U06LK54V5EF,2026-03-24,2026-03-24,2026-03-25,Internal,New,Yet to start,,false,,0,2,1774198668,0,,2026-03-22
All Client data check and followup call with Dhanraj Soni,"1.All Client data check and followup call with Dhanraj Soni
2. Check for a dashboard creation master sheet for data status and make follow up calls and emails escalations.
3.Automate local drive in Claude",U06LK54V5EF,2026-03-26,2026-03-26,2026-03-27,Internal,New,Yet to start,,false,,0,3,1774198408,0,,2026-03-22
"1.Create Warp terminal and check csv excel report status macros
2. Send report to ADF","1.Create Warp terminal and check csv excel report status macros
2. Send report to ADF",U06LK54V5EF,2026-03-24,2026-03-24,2026-03-25,ADF,New,Yet to start,,false,,0,3,1774198237,0,,2026-03-22
ADF Foods current report status correction,"1.Call rohan and ask to accept data from reviewers account
2.ADF Foods current report status correction",U06LK54V5EF,2026-03-23,2026-03-23,2026-03-24,ADF,BAU,Yet to start,,false,,0,2,1774198121,0,,2026-03-22
Canara Configuration,Few changes requested,U0877RUHX4M,2026-03-24,2026-03-26,2026-03-26,Canara HSBC,BAU,Yet to start,,false,,0,0.5,1774198047,0,,2026-03-22
Eco Vadies Submission Arene,"1.Send 3rd reminder mail for Index finalization
2.Call BNV or move on for Emmbi report finalization corrections.",U06LK54V5EF,2026-03-23,2026-03-23,2026-03-24,Arene,BAU,Yet to start,,false,,0,2,1774197876,0,,2026-03-22
Canara policies,"• Review additional policies
• Create new policies ",U0877RUHX4M,2026-03-24,2026-03-26,2026-03-26,Canara HSBC,BAU,Yet to start,,false,,0,3,1774197522,0,,2026-03-22
Reporting,"• HR Data Users Data Review and Follow UP
• Fill out the P7, P8, P9 along with Kavita and Ganesh Questionnaire assigned to them.",U08MDDVKE1X,2026-03-23,,2026-03-26,Ventive,BAU,Yet to start,,false,,0,4,1774179606,0,,2026-03-22
Persistent TCIL supply chain data fill,Persistent TCIL supply chain data fill,U06LK54V5EF,2026-03-19,2026-03-19,2026-03-20,TCIL,BAU,Completed,,false,,0,3,1773939332,0,2026-03-19,2026-03-19
ADF report send,ADF report send,U06LK54V5EF,2026-03-19,2026-03-19,2026-03-20,ADF,BAU,Completed,,false,,0,1,1773939337,0,2026-03-19,2026-03-19
Emmbi SR Report,Emmbi SR Report content changes,U06LK54V5EF,2026-03-17,2026-03-18,2026-03-18,Emmbi Industries,BAU,Completed,,false,,0,2,1773835558,0,,2026-03-18
Are report finalization,Are report finalization,U06LK54V5EF,2026-03-18,2026-03-18,2026-03-18,Arene,BAU,Completed,,false,,0,2,1773835504,0,,2026-03-18
Indoco reassignment,Indoco reassignment,U06LK54V5EF,2026-03-18,2026-03-18,2026-03-18,Indoco,BAU,Completed,,false,,0,1,1773835378,0,,2026-03-18
Emmbi Call with Sivani,Emmbi Call with Sivani,U06LK54V5EF,2026-03-17,2026-03-17,2026-03-17,Emmbi Industries,BAU,Completed,,false,,0,1,1773733229,0,,2026-03-17
Assign FY 2025-26 BRSR,Assign FY 2025-26 BRSR based on the FY 2024-25 report except HR (Gautam Rao) & Environment (Neelam),U06LK54V5EF,2026-03-17,2026-03-18,2026-03-18,MFSL,BAU,Completed,,false,,0,1,1773893226,0,2026-03-19,2026-03-17
Emmbi Eco Vadies call with Yash and Salil,Emmbi Eco Vadies call with Yash and Salil,U06LK54V5EF,2026-03-16,2026-03-16,2026-03-16,Emmbi Industries,BAU,Completed,,false,,0,0.5,1773656086,0,,2026-03-16
Explore claude code for EcoVadis gap,• use the custom GPT for ecovadis and try with claude code.,U0877RUHX4M,2026-03-19,,2026-03-24,Internal,BAU,In process,,false,,0,3,1774238097,0,,2026-03-16
Inframarket data monitoring ,Check status of data & followups,U0877RUHX4M,2026-03-18,2026-03-18,2026-03-18,Infra.Market,BAU,Completed,,false,,0,1,1774196329,0,2026-03-22,2026-03-16
BSI QCB doc ,• update the documents section ,U0877RUHX4M,2026-03-17,2026-03-19,2026-03-19,BSI Qatar,BAU,Completed,,false,,0,2,1774196337,0,2026-03-22,2026-03-16
Send Proposal,Send commercial proposal for Indoco,UJ9KR034Z,2026-03-17,2026-03-18,2026-03-18,Indoco,BAU,Yet to start,,false,,0,0,1773578472,0,,2026-03-15
Sent Renewal Proposal,Draft a renewal proposal for JLL,UJ9KR034Z,2026-03-17,2026-03-18,2026-03-18,JLL,BAU,Yet to start,,false,,0,2,1773578423,0,,2026-03-15
Revised Site Visit Report,Revise the site visit report,UJ9KR034Z,2026-03-17,2026-03-17,2026-03-17,ADF,BAU,Yet to start,,false,,0,2,1773578366,0,,2026-03-15
Update calibre deliverables ppt,"-update board ppt
-deliverables ppt update",U0877RUHX4M,2026-03-12,2026-03-13,2026-03-13,Calibre,BAU,Completed,,false,,0,1.5,1773590132,0,,2026-03-13
ADF Meeting,ADF Meeting,U06LK54V5EF,2026-03-13,2026-03-13,2026-03-13,ADF,New,Completed,,false,,0,1,1773385414,0,,2026-03-13
Rustomjee Anuska training,Rustomjee Anuska training,U06LK54V5EF,2026-03-12,2026-03-12,2026-03-12,Rustomjee,BAU,Completed,,false,,0,1,1773311585,0,2026-03-12,2026-03-12
ESG Goals Tracker,"Create a custom report for certifications. List:
• ISO 14001
• ISO 45001
• ISO 50001
• LEED O+M
• BEE Star Rating
• WELL Building Standard
• EDGE
Date of certifications, Renewal date, Remarks",U08MDDVKE1X,2026-03-12,2026-03-13,2026-03-13,Ventive,BAU,Completed,,true,,0,2,1773309729,0,2026-03-12,2026-03-12
All client data pack,All client data pack,U06LK54V5EF,2026-03-11,2026-03-11,2026-03-11,Internal,New,Completed,,false,,0,1,1773229523,0,,2026-03-11
Call with Harshada,Call with Harshada,U06LK54V5EF,2026-03-11,2026-03-11,2026-03-11,Infra.Market,BAU,Completed,,false,,0,1,1773222607,0,,2026-03-11
Report Completion,Hiveminds and Madison Report Completion,U08MDDVKE1X,2026-03-09,,2026-03-11,Madison and Hiveminds,BAU,Completed,,true,,0,1.5,1773309753,0,2026-03-12,2026-03-11
Arene report design,Arene report design (Table of content and meeting with Ishani),U06LK54V5EF,2026-03-10,2026-03-10,2026-03-10,Arene,BAU,Completed,,false,,0,1,1773204764,0,,2026-03-11
Meeting with Ravindra Ji INDOCO,Meeting with Ravindra Ji INDOCO,U06LK54V5EF,2026-03-10,2026-03-10,2026-03-10,Indoco,BAU,Completed,,false,,0,1,1773204695,0,,2026-03-11
Create Emmbi SR using custom GTP,Create Emmbi SR using custom GTP,U06LK54V5EF,2026-03-10,2026-03-11,2026-03-11,Emmbi Industries,BAU,Completed,,false,,0,3,1773208643,0,,2026-03-11
Check data anomaly report from Dhanraj,Check data anomaly report from Dhanraj,U06LK54V5EF,2026-03-10,,2026-03-10,Internal,New,Completed,,false,,0,0.3,1773205212,0,2026-03-11,2026-03-09
Custom data anomaly csv,Custom data anomaly csv for JLL,U06LK54V5EF,2026-03-09,,2026-03-09,JLL,BAU,Completed,,false,,0,1,1773064796,0,,2026-03-09
